Timestamp,Farm ID,Field,Latitude,Longitude,Soil Moisture (%),Soil Temp (°C),Soil pH,Soil EC (�S/cm),Leaf Wetness,Air Temp (�C),Humidity (%),Rainfall (mm),Light (Lux),Wind Speed (km/h),Solar Irradiance (W/m�),Solar Voltage (V),Solar Current (A),Energy Generated (kWh),Crop Stage,Crop Health,Disease Risk,Recommended Action
2025-07-01 09:00,FARM001,North Field,22.3494,73.131,80,32.1,6.36,319,Dry,21.6,39,0,348,8.6,155,17.3,4.1,3.72,Seedling,Moderate,Low,Irrigate tomorrow
2025-07-01 10:00,FARM001,North Field,22.3828,73.149,53,34.1,7.18,464,Wet,35.5,45,8,501,4.0,747,17.0,3.8,1.12,Harvesting,Good,Low,Monitor humidity
2025-07-01 11:00,FARM001,North Field,22.3281,73.1871,63,34.7,7.1,373,Wet,28.9,32,8,728,0.7,526,17.4,3.3,1.72,Seedling,Moderate,High,Apply fertilizer
2025-07-01 12:00,FARM001,North Field,22.3555,73.1865,64,30.4,5.14,375,Wet,31.5,58,4,319,2.0,754,18.2,5.0,3.1,Vegetative,Moderate,High,No action needed
2025-07-01 13:00,FARM001,North Field,22.3388,73.1419,19,28.7,5.12,364,Dry,26.9,38,7,699,2.2,921,17.1,3.5,1.84,Flowering,Moderate,Low,Apply fertilizer
2025-07-01 14:00,FARM001,North Field,22.3203,73.1822,52,25.8,6.99,361,Dry,22.2,43,9,435,6.4,550,18.4,3.8,1.05,Flowering,Good,Low,Apply fertilizer
2025-07-01 15:00,FARM001,North Field,22.3752,73.1138,86,21.4,5.87,577,Wet,30.3,50,7,260,8.7,654,19.6,4.9,4.12,Vegetative,Moderate,Medium,No action needed
2025-07-01 16:00,FARM001,North Field,22.3279,73.1668,47,30.7,6.26,529,Wet,32.2,60,8,708,4.1,572,16.1,4.4,1.01,Flowering,Poor,Low,Apply fertilizer
2025-07-01 17:00,FARM001,North Field,22.3237,73.1028,82,27.5,7.03,483,Dry,37.4,41,0,252,7.5,387,18.1,3.5,3.36,Vegetative,Moderate,High,No action needed
2025-07-01 18:00,FARM001,North Field,22.3817,73.1989,32,32.3,5.62,376,Dry,25.3,59,1,481,4.0,692,17.0,4.6,4.85,Flowering,Poor,High,Check for pests
2025-07-01 19:00,FARM001,North Field,22.3215,73.1042,19,34.1,6.95,334,Dry,32.6,65,10,264,0.0,109,19.8,3.3,1.13,Harvesting,Moderate,Medium,Apply fertilizer
2025-07-01 20:00,FARM001,North Field,22.3487,73.1458,21,29.0,6.44,367,Dry,28.5,59,3,658,8.3,665,18.1,4.7,0.95,Vegetative,Moderate,Low,Check for pests
2025-07-01 21:00,FARM001,North Field,22.3775,73.1253,47,28.0,6.66,597,Wet,39.8,38,1,239,6.2,145,19.1,4.3,2.98,Flowering,Poor,Medium,Apply fertilizer
2025-07-01 22:00,FARM001,North Field,22.3829,73.178,52,25.1,7.07,330,Dry,33.9,42,3,232,9.3,217,18.0,4.4,3.45,Seedling,Moderate,Low,Check for pests
2025-07-01 23:00,FARM001,North Field,22.3574,73.1517,85,26.3,6.04,442,Wet,29.5,61,3,250,9.9,965,19.8,3.6,1.43,Seedling,Poor,Medium,No action needed
2025-07-02 00:00,FARM001,North Field,22.3596,73.1164,52,34.8,6.08,573,Dry,36.6,49,6,711,5.6,777,17.5,3.9,1.08,Vegetative,Moderate,Low,Apply fertilizer
2025-07-02 01:00,FARM001,North Field,22.3806,73.134,41,30.4,7.39,320,Dry,38.9,30,9,734,2.6,318,18.3,3.6,2.13,Harvesting,Poor,Medium,Monitor humidity
2025-07-02 02:00,FARM001,North Field,22.397,73.1494,57,20.8,4.59,599,Wet,22.3,44,2,318,9.4,470,19.6,4.6,2.29,Flowering,Poor,High,Irrigate tomorrow
2025-07-02 03:00,FARM001,North Field,22.3725,73.1545,28,31.3,5.23,556,Wet,21.2,59,5,614,6.0,504,19.7,3.6,4.48,Vegetative,Poor,Medium,No action needed
2025-07-02 04:00,FARM001,North Field,22.3938,73.1913,39,28.9,5.46,543,Dry,31.8,63,2,343,5.8,313,16.8,4.0,4.1,Harvesting,Poor,Medium,Monitor humidity
2025-07-02 05:00,FARM001,North Field,22.35,73.1089,90,20.8,6.3,550h,Dry,38.8,57,1,247,2.0,235,17.0,4.7,3.57,Seedling,Moderate,Low,Monitor humidity
2025-07-02 06:00,FARM001,North Field,22.3054,73.1426,57,28.6,7.35,346,Wet,37.3,40,8,525,7.8,887,19.0,3.9,4.06,Flowering,Good,High,Check for pests
2025-07-02 07:00,FARM001,North Field,22.3381,73.1912,86,25.7,7.08,352,Wet,27.4,35,8,477,8.3,406,19.7,4.4,1.21,Flowering,Poor,Low,Check for pests
2025-07-02 08:00,FARM001,North Field,22.373,73.1384,70,31.4,6.78,534,Wet,27.0,48,7,235,10.0,242,18.7,3.5,4.8,Seedling,Good,Medium,Irrigate tomorrow
2025-07-02 09:00,FARM001,North Field,22.3463,73.196,46,33.8,5.74,304,Wet,28.0,56,8,735,7.2,906,18.5,3.4,4.77,Seedling,Poor,High,No action needed
2025-07-02 10:00,FARM001,North Field,22.3488,73.1408,33,34.2,6.46,470,Dry,20.7,45,5,536,0.2,975,19.5,4.5,2.98,Harvesting,Poor,Low,Apply fertilizer
2025-07-02 11:00,FARM001,North Field,22.3686,73.1759,24,33.4,6.11,495,Wet,29.6,55,4,395,7.4,522,17.6,3.1,3.0,Seedling,Poor,High,Monitor humidity
2025-07-02 12:00,FARM001,North Field,22.3739,73.1612,44,27.1,5.05,381,Wet,38.8,39,9,435,5.8,878,19.4,4.0,3.64,Seedling,Good,High,Check for pests
